Product_Name,Price,Total Discount,Rating,Display_size,Operating_system,Screen_Resolution,Speaker Output
Samsung 32 Inches HD LCD LA32D400E1 Television,29900,0,3.4,32,0,1,20 
Micromax ,6179,53,4.2,60,0,3,20 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
SONY Bravia X8000G ,55950,25,4.4,108,0,4,20 
LG UHD ,149990,44,4.4,190,8,4,20 
LG ,74990,0,4.5,123,8,3,20 
SAMSUNG ,17499,12,4.3,80,6,1,20 
SONY X90J ,130290,16,4.4,138.8,2,4,20 
SONY ,26990,9,4.4,80,5,1,20 
Lloyd ,20990,18,4.8,80,0,4,16 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
SAMSUNG Series 7 ,64499,35,4.5,123,6,4,20 
Vu ,13999,26,4.3,80,0,1,20 
LG All-in-One ,44990,32,4.4,126,8,4,20 
TCL P615 ,57999,51,4.1,164,0,4,24 
LG ,32527,16,4.3,80,0,3,20 
SAMSUNG Q Series ,258999,38,4.4,163,6,4,40 
SAMSUNG Series 5 ,118900,0,4,138,6,3,20 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
LG 32 Inches Full HD LCD 32LK450 Television,31990,0,4.4,32,0,3,20 
Samsung 40 Inches Full HD LCD LA40D503F7R Television,36900,0,3.8,40,0,3,20 
SONY Bravia X9500G ,89993,54,4.5,138.8,0,4,20 
TCL P615 ,29999,42,4.4,108,0,4,24
Maser ,7499,6,3.8,60,0,1,10 
SONY Bravia A9G ,134993,54,4.4,139,0,4,60 
Vu ,16999,47,4.4,100,0,3,20 
TCL C715 Series ,45999,58,4.4,126,0,4,30 
Micromax ,42490,29,4.2,124,0,4,30 
SONY X9500G ,152999,43,4.5,164,0,4,20 
SAMSUNG 7 ,89990,28,4.4,163,6,4,20 
SAMSUNG ,17499,12,4.3,80,6,1,20 
iFFALCON by TCL ,29999,61,4.3,107.9,0,4,30 
Sansui (,21499,6,4.4,32,0,1,20 
SONY ,12999,13,4.3,59.9,0,1,20 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
SONY Bravia W672F ,31990,20,4.5,80.1,5,3,30 
SONY X80J ,121990,32,4.7,164,2,4,20 
LG ,80990,0,4.5,123,8,4,20 
TCL P615 ,57999,51,4.1,164,0,4,24 
SONY Bravia W622F ,22999,17,4.4,80,5,1,30 
Micromax ,18990,48,4.2,101,0,3,10 
LG Super UHD ,356990,0,5,164,8,4,40 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
TCL ,86091,21,4.3,163.96,0,5,16 
SAMSUNG Series 7 ,122299,41,4.7,163,6,4,20 
Sansui ,69200,0,3.7,140,0,4,20 
TCL P615 ,29999,42,4.4,108,0,4,24
SAMSUNG 7 ,45950,16,4.4,108,6,4,20 
SAMSUNG ,44990,42,4.4,108,6,4,20 
SAMSUNG 6 ,89500,33,4.4,138,6,4,20 
TCL C715 Series ,45999,58,4.4,126,0,4,30 
